location_id,X_mm,Y_mm,ap1,ap2,ap3,ap4,ap5,ap6
a1,0,0,-62.41860465116279,-59.142857142857146,-54.46341463414634,-57.5,-41.83720930232558,-49.53658536585366
a11,12000,0,-57.76923076923077,-50.68,-40.76,-48.24,-54.69565217391305,-44.04761904761905
a13,14400,0,-51.233333333333334,-45.92857142857143,-43.43333333333333,-47.0,-51.41379310344828,-45.241379310344826
a15,16800,0,-49.35897435897436,-46.56410256410256,-44.351351351351354,-46.25,-54.19444444444444,-47.885714285714286
a17,19200,0,-47.810810810810814,-35.91428571428571,-48.97142857142857,-50.94117647058823,-58.15151515151515,-44.06060606060606
a19,21600,0,-48.326530612244895,-29.73469387755102,-50.26,-47.875,-55.270833333333336,-46.638297872340424
a21,24000,0,-45.3921568627451,-43.80434782608695,-47.86666666666667,-53.68888888888889,-56.71111111111111,-50.86666666666667
a23,26400,0,-44.644444444444446,-47.8,-51.52272727272727,-52.93181818181818,-57.8,-48.44186046511628
a3,2400,0,-59.45945945945946,-58.51428571428571,-51.03125,-55.08571428571429,-32.34375,-45.93939393939394
a5,4800,0,-55.791666666666664,-53.666666666666664,-49.14,-55.1875,-37.979166666666664,-46.62222222222222
a7,7200,0,-58.475,-54.325,-46.30769230769231,-55.63157894736842,-43.16216216216216,-43.71052631578947
a9,9600,0,-55.96,-53.04,-48.56521739130435,-53.59090909090909,-45.38095238095238,-36.095238095238095
c1,0,2400,-58.629629629629626,-58.05555555555556,-48.7037037037037,-61.127272727272725,-40.79245283018868,-50.55769230769231
c11,12000,2400,-53.96774193548387,-48.10344827586207,-40.30769230769231,-45.96296296296296,-47.80769230769231,-47.592592592592595
c13,14400,2400,-50.854166666666664,-44.40425531914894,-36.55555555555556,-46.51020408163265,-48.55813953488372,-45.93023255813954
c15,16800,2400,-53.34,-44.80392156862745,-44.14,-41.1764705882353,-50.816326530612244,-49.08163265306123
c17,19200,2400,-50.36206896551724,-45.206896551724135,-41.96551724137931,-47.101694915254235,-50.98275862068966,-46.69491525423729
c19,21600,2400,-49.88461538461539,-42.979166666666664,-44.51063829787234,-44.8936170212766,-57.65217391304348,-48.108695652173914
c21,24000,2400,-44.10344827586207,-44.66101694915254,-44.875,-47.8,-57.51851851851852,-52.48148148148148
c23,26400,2400,-41.32692307692308,-46.943396226415096,-51.529411764705884,-52.42857142857143,-58.375,-53.08510638297872
c3,2400,2400,-54.46938775510204,-57.83673469387755,-50.285714285714285,-56.95744680851064,-44.977777777777774,-46.06666666666667
c5,4800,2400,-56.95744680851064,-54.45652173913044,-49.26086956521739,-55.43181818181818,-43.54545454545455,-41.54545454545455
c7,7200,2400,-55.07142857142857,-52.075,-47.125,-55.2,-41.45,-36.95
c9,9600,2400,-54.03389830508475,-50.43859649122807,-45.660714285714285,-52.87719298245614,-46.69090909090909,-39.0188679245283
e1,50,6080,-56.191489361702125,-59.82222222222222,-57.170731707317074,-57.51162790697674,-46.475,-49.575
e11,12050,6080,-53.86842105263158,-53.39473684210526,-42.911764705882355,-47.05555555555556,-51.542857142857144,-49.1764705882353
e13,14450,6080,-51.74285714285714,-44.02857142857143,-50.51428571428571,-37.11764705882353,-57.0,-47.94117647058823
e15,16850,6080,-48.0,-48.095238095238095,-43.785714285714285,-37.853658536585364,-47.88095238095238,-47.38095238095238
e17,19250,6080,-47.79545454545455,-45.97727272727273,-42.411764705882355,-43.8780487804878,-52.609756097560975,-44.17948717948718
e19,21650,6080,-45.5,-45.916666666666664,-39.80555555555556,-45.72222222222222,-48.60606060606061,-49.588235294117645
e21,24050,6080,-45.625,-46.0,-46.425,-51.38461538461539,-50.69230769230769,-51.885714285714286
e23,26450,6080,-44.40909090909091,-48.90909090909091,-46.93181818181818,-53.58139534883721,-54.1219512195122,-56.05128205128205
e3,2450,6080,-56.833333333333336,-58.851851851851855,-52.471698113207545,-54.71153846153846,-48.06122448979592,-47.244897959183675
e5,4850,6080,-60.67857142857143,-52.72727272727273,-51.36363636363637,-53.50909090909091,-49.01923076923077,-47.32692307692308
e7,7250,6080,-55.04054054054054,-51.55714285714286,-43.15714285714286,-52.72463768115942,-48.36231884057971,-40.95522388059702
e9,9650,6080,-54.19565217391305,-48.67391304347826,-50.22222222222222,-50.80952380952381,-55.58139534883721,-44.54761904761905
