k,mean_m,median_m,max_m
2,2.755272771858682,2.4295128255143443,5.380891494407972
4,2.3801474229884247,1.807440394055486,6.7313379884061995
6,2.576618181182839,1.5571696675103075,7.56877133866668
8,2.284821322814603,1.7371533987313017,6.253349770593291
10,2.3517708864876337,1.7763245915365051,6.185340500816638
12,2.444615688353768,2.1010130805329172,6.023546053896167
14,2.3867093231009355,2.050099537926637,5.643558911542561
16,2.51064626650828,2.358790131738322,5.673075785721701
18,2.71205159266788,2.7884891427209424,6.069673699294929
