method,family,mean_m,median_m,max_m,latency_ms
KWNN+Kalman,Retrieval,1.97,1.12,7.66,0.65
KWNN,Retrieval,2.02,1.15,6.37,0.525
HNSW-KWNN,Retrieval,2.02,1.15,6.37,0.001
MAP,Retrieval,2.99,2.65,7.05,3.7
RF,Ensemble,2.33,1.47,7.12,26.14
GB,Ensemble,2.64,1.64,6.68,2.15
CAT,Ensemble,2.69,1.98,6.95,3.46
XGB,Ensemble,3.13,2.66,6.78,1.74
ANN-4,Neural,2.62,1.94,6.62,108.99
TF-4,Attention,2.19,1.7,4.53,0.8
TF-2,Attention,3.29,1.79,7.17,0.69
TF-3,Attention,3.3,2.97,6.29,1.21
TF-1,Attention,3.52,2.01,7.71,1.08
