Method,Min,Q1,Median,Q3,Max
KWNN k=3 (Avg),0.29,1.06,1.98,2.75,6.52
KWNN k=3 (KF),0.35,1.29,1.99,2.03,6.64
KWNN k=4 (Avg),0.25,1.69,2.22,2.74,6.4
KWNN k=4 (KF),0.26,0.92,1.7,1.91,7.31
KWNN k=5 (Avg),0.34,1.53,1.58,2.46,7.12
KWNN k=5 (KF),0.26,1.21,1.42,2.41,7.08
KWNN k=6 (Avg),0.52,0.95,1.15,2.33,6.37
KWNN k=6 (KF),0.19,0.82,1.12,1.74,7.66
CatBoost (CAT),0.02,1.35,1.98,3.31,6.95
Random Forest (RF),0.31,0.6,1.47,3.49,7.12
XGBoost (XGB),1.56,1.92,2.66,3.89,6.78
ANN Arch 1,0.71,1.55,2.55,3.73,5.7
ANN Arch 2,0.39,1.73,1.96,3.62,6.49
ANN Arch 3,0.27,1.4,2.71,3.07,6.02
ANN Arch 4,0.25,1.5,1.94,3.53,6.62
TF Arch 1,0.69,1.7,2.01,4.95,7.71
TF Arch 2,0.2,1.29,1.79,5.77,7.17
TF Arch 3,1.34,2.22,2.97,4.23,6.29
TF Arch 4,0.73,1.05,1.7,3.17,4.53
